StorAll	Snow	Intercp	Surface	Soil	SoilL1	SoilL2	SoilL3	RZW	GW	ET	EvapS	EvapI	EvapT	Leakage	SrfOut	GWOut	AllOut	SrftoCh	GWtoCh	Rchrge
76.9056	34.3562	-nan	66.8551	91.4827	56.4635	67.9542	97.7897	75.2154	97.5618	5.22381	41.8167	1	64.4169	-nan	67.0181	105.578	47.4783	64.1527	99.7286	0
77.912	35.3681	-nan	68.0182	92.4862	57.5354	69.0226	98.778	76.2536	98.5553	55.3023	47.6055	-nan	64.9679	-nan	67.5533	106.579	66.7869	64.1846	100.73	0
78.9185	36.3787	-nan	69.2801	93.4906	58.6122	70.0928	99.7666	77.2943	99.549	55.6651	49.6466	-nan	65.9019	-nan	68.6892	107.579	67.7844	65.2343	101.732	0
79.9244	37.3866	-nan	70.8611	94.4963	59.6949	71.1628	100.755	78.3379	100.543	56.4314	53.1455	-nan	66.9238	-nan	70.4674	108.58	69.082	67.9293	102.733	0
80.9294	38.3942	-nan	72.0873	95.5016	60.7745	72.2324	101.744	79.3802	101.537	58.4561	55.7187	-nan	68.0478	-nan	72.2449	109.58	70.791	69.601	103.735	0
80.5704	37.0667	-nan	73.5891	96.5038	61.8357	73.3008	102.733	80.4135	102.531	3.1515	34.5274	1	69.1891	-nan	72.6833	110.581	52.5764	69.959	104.736	0
80.8974	36.9573	-nan	75.1447	97.5063	62.9	74.3667	103.723	81.4474	103.526	2.82077	33.9172	1	69.941	-nan	73.9126	111.582	53.8784	70.5991	105.738	0
81.2259	36.8813	-nan	76.8172	98.5092	63.9688	75.4309	104.712	82.4827	104.52	2.58274	36.7851	1	70.7538	-nan	75.5659	112.583	55.0617	72.3988	106.74	0
81.6922	37.0464	-nan	77.5924	99.5111	65.0305	76.4932	105.701	83.5145	105.514	2.51758	-nan	1	71.6293	-nan	76.2462	113.584	55.8627	70.7439	107.741	0
82.3398	37.5001	-nan	78.9242	100.514	66.1005	77.5516	106.689	84.549	106.509	2.29336	36.5579	1	72.484	-nan	77.3629	114.585	56.7655	72.8203	108.743	0
83.3443	38.5095	-nan	80.2851	101.517	67.1703	78.6112	107.678	85.5841	107.503	65.3662	34.8721	-nan	73.4112	-nan	78.6521	115.585	78.4997	74.067	109.744	0
84.3482	39.5176	-nan	81.8551	102.52	68.242	79.6714	108.667	86.6204	108.497	60.315	45.1784	-nan	74.3882	-nan	80.308	116.586	80.0626	76.3277	110.746	0
85.3517	40.5245	-nan	83.4741	103.524	69.3173	80.7316	109.657	87.658	109.491	55.9966	50.5077	-nan	75.4005	-nan	82.0997	117.587	81.7323	78.4692	111.747	0
86.3547	41.5306	-nan	85.075	104.529	70.3933	81.7924	110.646	88.6961	110.486	55.0812	55.0812	-nan	-nan	-nan	83.9543	118.587	83.4347	80.631	112.749	0
87.357	42.5358	-nan	86.6564	105.533	71.4689	82.8532	111.636	89.7343	111.481	61.7683	61.7683	-nan	-nan	-nan	85.8608	119.588	85.1292	82.9298	113.75	0
87.641	42.37	-nan	88.1833	106.538	72.5421	83.9138	112.626	90.7713	112.476	1.11597	35.4227	1	1	-nan	87.2358	120.589	62.817	84.4793	114.751	0
88.2633	42.764	-nan	89.5069	107.542	73.6145	84.9729	113.616	91.8075	113.471	1.08353	37.6375	1	1	-nan	88.5364	121.589	63.8152	85.1301	115.753	0
89.2647	43.7689	-nan	90.8389	108.546	74.6897	86.0301	114.606	92.8441	114.466	58.1633	58.1633	-nan	-nan	-nan	89.9559	122.59	89.7388	86.5846	116.754	0
89.9792	44.3075	-nan	92.2868	109.55	75.7648	87.0868	115.597	93.8807	115.462	1.91566	55.2825	1	1	-nan	91.4972	123.59	65.7356	88.6174	117.755	0
90.9807	45.3145	-nan	92.8616	110.554	76.829	88.1428	116.587	94.9132	116.458	66.5436	66.5436	-nan	-nan	-nan	92.2034	124.591	91.6114	87.1696	118.757	0
91.9821	46.3203	-nan	93.9625	111.558	77.8987	89.1963	117.577	95.9476	117.453	69.0047	69.0047	-nan	-nan	-nan	93.2774	125.591	92.4791	89.4052	119.758	0
92.9834	47.326	-nan	95.1004	112.561	78.9654	90.2504	118.568	96.9809	118.448	70.9714	70.9714	-nan	-nan	-nan	94.4463	126.592	93.5613	90.6766	120.759	0
93.6869	47.8336	-nan	96.5554	113.565	80.0332	91.3036	119.559	98.0139	119.444	3.11824	71.6762	1	1	-nan	95.4805	127.592	69.0593	92.3433	121.761	0
94.6875	48.8373	-nan	98.1876	114.569	81.1047	92.3569	120.55	99.0487	120.44	73.2371	73.2371	-nan	-nan	-nan	97.7306	128.592	96.3589	95.333	122.762	0
95.6882	49.8435	-nan	98.8532	115.572	82.1657	93.4101	121.541	100.079	121.435	74.0602	74.0602	-nan	-nan	-nan	98.5391	129.593	97.4599	94.0953	123.763	0
96.6893	50.8508	-nan	99.3565	116.574	83.2242	94.4608	122.532	101.108	122.431	75.5692	75.5692	-nan	-nan	-nan	98.7762	130.593	97.8703	93.5099	124.764	0
97.382	51.3284	-nan	100.832	117.577	84.2879	95.5096	123.523	102.139	123.426	2.74682	68.1612	1	1	-nan	99.2259	131.593	72.1857	95.5063	125.765	0
97.9147	51.5429	-nan	101.524	118.578	85.3382	96.5605	124.514	103.164	124.422	1.25157	56.9807	1	1	-nan	99.351	132.594	72.9998	92.7491	126.766	0
98.9161	52.55	-nan	102.783	119.581	86.3991	97.6062	125.505	104.193	125.417	78.3135	78.3135	-nan	-nan	-nan	101.263	133.594	100.228	95.9125	127.768	0
